Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,CoapplicantIncome
LP001003,Male,Yes,1,Graduate,No,4583,128,2,1,Rural,N,1508
LP001004,Male,Yes,0,Graduate,Yes,3000,66,2,1,Urban,Y,0
LP001005,Male,Yes,0,Not Graduate,No,2583,120,2,1,Urban,Y,2358
LP001006,Male,No,0,Graduate,No,6000,141,2,1,Urban,Y,0
LP001007,Male,Yes,0,Not Graduate,No,2333,95,2,1,Urban,Y,1516
LP001008,Male,Yes,2,Graduate,No,3200,70,2,1,Urban,Y,700
LP001009,Male,Yes,2,Graduate,,2500,109,2,1,Urban,Y,1840
LP001010,Male,No,0,Graduate,No,1853,114,2,1,Rural,N,2840
LP001011,Male,Yes,2,Graduate,No,1299,17,3,1,Urban,Y,1086
LP001012,Male,No,0,Graduate,No,4950,125,3,1,Urban,Y,0
LP001013,Male,No,1,Not Graduate,No,3596,100,3,,Urban,Y,0
LP001014,Female,No,0,Graduate,No,3510,76,3,0,Urban,N,0
LP001015,Male,Yes,0,Not Graduate,No,4887,133,3,1,Rural,N,0
LP001016,Male,Yes,0,Graduate,,2600,115,3,1,Urban,Y,3500
LP001017,Male,Yes,0,Not Graduate,No,7660,104,3,0,Urban,N,0
LP001018,Male,Yes,0,Not Graduate,No,2600,116,3,0,Semiurban,N,1911
LP001019,Female,Yes,2,Not Graduate,No,3365,112,3,0,Rural,N,1917
LP001020,Male,Yes,0,Graduate,No,2799,122,3,1,Semiurban,Y,2253
LP001021,Male,Yes,2,Not Graduate,No,4226,110,3,1,Urban,Y,1040
LP001022,Male,No,0,Not Graduate,No,1442,35,3,1,Urban,N,0
LP001023,Female,No,2,Graduate,,3750,120,4,1,Semiurban,Y,2083
LP001024,Male,No,0,Graduate,No,3167,74,4,1,Urban,N,0
LP001025,Male,No,1,Graduate,Yes,4692,106,4,1,Rural,N,0
LP001026,Male,Yes,0,Graduate,No,3500,114,3,1,Semiurban,Y,1667
LP001027,Male,Yes,0,Graduate,No,1828,100,3,0,Urban,N,1330
LP001028,Female,Yes,0,Graduate,No,3667,144,3,1,Semiurban,Y,1459
LP001029,Male,No,0,Not Graduate,No,3748,110,3,1,Semiurban,Y,1668
LP001030,Male,No,0,Graduate,No,3600,80,3,1,Urban,N,0
LP001031,Male,No,0,Graduate,No,1800,47,3,1,Urban,Y,1213
LP001032,Male,Yes,0,Graduate,No,2400,75,3,,Urban,Y,0
LP001033,Male,Yes,0,Graduate,No,3941,134,3,1,Semiurban,Y,2336
LP001034,Male,Yes,0,Not Graduate,Yes,4695,96,3,1,Urban,Y,0
LP001035,Female,No,0,Graduate,No,3410,88,4,1,Urban,Y,0
LP001036,Male,Yes,1,Graduate,No,5649,44,4,1,Urban,Y,0
LP001037,Male,Yes,0,Graduate,No,5821,144,4,1,Urban,Y,0
LP001038,Female,Yes,0,Graduate,No,2645,120,4,0,Urban,N,3440
